id,filename,source,date,variety,weight_kg,price_per_kg,origin,brix,sweetness,crunchiness,juiciness,mealiness,seed_level,notes
ANG0001,anguria_001.jpg,external,2026-08-08,,,,,,,,,,foto test iniziale
ANG0002,ANG0002.jpg,own,,,,,,,,,,,,import automatico
ANG0003,ANG0003.jpg,own,,,,,,,,,,,,import automatico
ANG0004,ANG0004.jpg,own,,,,,,,,,,,,import automatico
ANG0005,ANG0005.jpg,external,2026-08-18,,,,,,,,,,,import automatico
ANG0006,ANG0006.jpg,external,2026-08-18,,,,,,,,,,,import automatico
ANG0007,ANG0007.jpg,external,2026-08-18,,,,,,,,,,,import automatico
ANG0008,ANG0008.jpg,external,2026-08-18,,,,,,,,,,,import automatico
ANG0009,ANG0009.jpg,external,2026-08-18,,,,,,,,,,,import automatico
ANG0010,ANG0010.jpg,external,2026-08-18,,,,,,,,,,,import automatico
ANG0011,ANG0011.jpg,external,2026-08-18,,,,,,,,,,,import automatico
ANG0012,ANG0012.jpg,external,2026-08-18,,,,,,,,,,,import automatico
ANG0013,ANG0013.jpg,external,2026-08-18,,,,,,,,,,,import automatico
ANG0014,ANG0014.jpg,own,2026-08-18,,,,,,,,,,,import automatico
ANG0015,ANG0015.jpg,own,2026-08-19,,,,,,,,,,,import automatico
ANG0016,ANG0016.jpg,own,2026-08-19,,,,,,,,,,,import automatico
ANG0017,ANG0017.jpg,own,2026-08-19,,,,,,,,,,,import automatico
ANG0018,ANG0018.jpg,own,2026-08-19,,,,,,,,,,,import automatico
ANG0019,ANG0019.jpg,own,2026-08-19,,,,,,,,,,,import automatico
ANG0020,ANG0020.jpg,own,2026-08-19,,,,,,,,,,,import automatico
ANG0021,ANG0021.jpg,own,2026-08-19,,,,,,,,,,,import automatico
ANG0022,ANG0022.jpg,own,2026-08-19,,,,,,,,,,,import automatico
ANG0023,ANG0023.jpg,own,2026-08-19,,,,,,,,,,,import automatico
ANG0024,ANG0024.jpg,own,2026-08-19,,,,,,,,,,,import automatico
ANG0025,ANG0025.jpg,own,2026-08-19,,,,,,,,,,,import automatico
ANG0026,ANG0026.jpg,own,2026-08-19,,,,,,,,,,,import automatico
